location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,26656,26656,"Bus Access Rd Leederville Station Cat Id 38","Leederville Stn / Green Cat 1",-31.9398974160,115.8404061650,1,Bus
0,,26664,26664,"Barry Marshall Pde After Fiona Wood Rd","",-32.0685861103,115.8465715510,2,Bus
0,,26665,26665,"Barry Marshall Pde Before Fiona Wood Rd","",-32.0684300494,115.8464523750,2,Bus
0,,26667,26667,"Drumpellier Dr After Charlton Wy","",-31.8181315797,115.9625703610,3,Bus
0,,26670,26670,"Meadow Springs Dr Before Jester Pwy","",-32.49838166666670,115.756598888889,7,Bus
0,,26671,26671,"Meadow Springs Dr Before Jester Pwy","",-32.4987547233,115.7573039650,7,Bus
0,,26672,26672,"Meadow Springs Dr Before Pebble Beach Bvd","",-32.4989524942,115.7592227860,7,Bus
0,,26673,26673,"Meadow Springs Dr After Pebble Beach Bvd","",-32.4992837450,115.75984979,7,Bus
0,,26674,26674,"Pebble Beach Bvd Before Spencer L","",-32.49728333333330,115.761401111111,7,Bus
0,,26675,26675,"Pebble Beach Bvd Before Highland Cr","",-32.4972337912,115.7615445220,7,Bus
0,,26676,26676,"Pebble Beach Bvd After Camden Wy","",-32.49492777777780,115.761401666667,7,Bus
0,,26677,26677,"Pebble Beach Bvd Before Camden Way","",-32.4948918490,115.7615491950,7,Bus
0,,26678,26678,"Pebble Beach Bvd After Bramshaw St","",-32.487775,115.760524444444,7,Bus
0,,26679,26679,"Pebble Beach Bvd Before Bramshaw St","",-32.4875565350,115.7605249810,7,Bus
0,,26680,26680,"Pebble Beach Bvd Before Meadow Springs Dr","",-32.49451611111110,115.748890555556,7,Bus
0,,26681,26681,"Nicholson Rd After Exchange Av","Nicholson Rd / Exchange Av",-32.1296753375,115.9252030080,3,Bus
0,,26682,26682,"Nicholson Rd Before Exchange Av","Nicholson Rd / Exchange Av",-32.1298211566,115.9254566880,3,Bus
