from_stop_id, to_stop_id, transfer_type, min_transfer_time
99011,99012,2,179
99011,99013,2,179
99011,99014,2,179
99012,99013,2,59
99012,99011,2,179
99012,99014,2,179
99013,99012,2,59
99013,99011,2,179
99013,99014,2,179
99014,99013,2,179
99014,99012,2,179
99014,99011,2,179
28524,28525,2,59
28524,28526,2,59
28524,28527,2,119
28524,28528,2,239
28524,28529,2,239
28525,28524,2,59
28525,28526,2,59
28525,28527,2,59
28525,28528,2,239
28525,28529,2,239
28526,28524,2,59
28526,28525,2,59
12202,12209,2,239
27751,27751,2,0
17511,17511,2,0
12199,12209,2,239
12198,12209,2,239
12197,12209,2,239
28526,28527,2,59
12195,12209,2,239
28526,28528,2,239
28526,28529,2,239
28527,28524,2,119
28527,28525,2,59
28527,28526,2,59
28527,28528,2,179
28527,28529,2,179
28528,28524,2,239
28528,28525,2,239
28528,28526,2,239
28528,28527,2,179
28528,28529,2,59
28529,28524,2,239
28529,28525,2,239
28529,28526,2,239
28529,28527,2,179
28529,28528,2,59
12223,12207,2,239
12224,12207,2,239
12225,12207,2,239
12226,12207,2,239
12227,12207,2,239
12228,12207,2,239
12221,12207,2,239
12218,12207,2,239
12217,12207,2,239
12216,12207,2,239
12214,12207,2,239
12213,12207,2,239
12212,12207,2,239
12211,12207,2,239
12210,12207,2,239
12209,12207,2,239
12199,12207,2,239
12198,12207,2,239
12197,12207,2,239
11358,11359,2,59
12195,12207,2,239
12223,12206,2,239
12224,12206,2,239
12225,12206,2,239
12226,12206,2,239
12227,12206,2,239
12228,12206,2,239
12221,12206,2,239
12218,12206,2,239
12217,12206,2,239
12216,12206,2,239
12214,12206,2,239
12213,12206,2,239
12212,12206,2,239
12211,12206,2,239
12210,12206,2,239
12209,12206,2,239
11358,11360,2,59
12199,12206,2,239
12198,12206,2,239
12197,12206,2,239
11358,11361,2,59
12195,12206,2,239
12223,12205,2,239
12224,12205,2,239
12225,12205,2,239
12226,12205,2,239
12227,12205,2,239
12228,12205,2,239
12221,12205,2,239
12218,12205,2,239
12217,12205,2,239
12216,12205,2,239
12214,12205,2,239
12213,12205,2,239
12212,12205,2,239
12211,12205,2,239
12210,12205,2,239
12209,12205,2,239
11358,11362,2,119
12199,12205,2,239
12198,12205,2,239
12197,12205,2,239
11358,11363,2,59
12195,12205,2,239
12223,12204,2,239
12224,12204,2,239
12225,12204,2,239
12226,12204,2,239
12227,12204,2,239
12228,12204,2,239
12221,12204,2,239
12218,12204,2,239
12217,12204,2,239
12216,12204,2,239
12214,12204,2,239
12213,12204,2,239
12212,12204,2,239
12211,12204,2,239
12210,12204,2,239
12209,12204,2,239
11358,11364,2,119
12199,12204,2,239
12198,12204,2,239
12197,12204,2,239
11358,11365,2,119
12195,12204,2,239
12223,12203,2,239
12224,12203,2,239
12225,12203,2,239
12226,12203,2,239
12227,12203,2,239
12228,12203,2,239
12221,12203,2,239
12218,12203,2,239
12217,12203,2,239
12216,12203,2,239
12214,12203,2,239
12213,12203,2,239
12212,12203,2,239
12211,12203,2,239
12210,12203,2,239
12209,12203,2,239
11358,11366,2,59
12199,12203,2,239
12198,12203,2,239
12197,12203,2,239
11359,11358,2,59
12195,12203,2,239
12223,12202,2,239
12224,12202,2,239
12225,12202,2,239
12226,12202,2,239
12227,12202,2,239
12228,12202,2,239
12221,12202,2,239
12218,12202,2,239
12217,12202,2,239
12216,12202,2,239
12214,12202,2,239
12213,12202,2,239
12212,12202,2,239
12211,12202,2,239
12210,12202,2,239
12209,12202,2,239
11359,11360,2,59
12199,12202,2,239
12198,12202,2,239
12197,12202,2,239
11359,11361,2,119
12195,12202,2,239
11359,11362,2,119
11359,11363,2,59
11359,11364,2,119
11359,11365,2,119
11359,11366,2,119
11360,11358,2,59
11360,11359,2,59
11360,11361,2,59
11360,11362,2,59
11360,11363,2,59
11360,11364,2,59
11360,11365,2,119
11360,11366,2,119
11361,11358,2,119
11361,11359,2,119
11361,11360,2,59
11362,11358,2,119
11362,11359,2,119
11362,11360,2,59
11363,11358,2,59
11363,11359,2,59
11363,11360,2,59
11364,11358,2,119
10119,10118,2,59
10119,10122,2,59
10119,10121,2,59
10119,10090,2,179
10119,10089,2,179
10118,10119,2,59
10118,10122,2,59
10118,10121,2,59
10118,10090,2,179
10118,10089,2,179
10122,10119,2,59
10122,10118,2,59
10122,10121,2,59
10122,10090,2,239
10122,10089,2,239
10121,10119,2,59
10121,10118,2,59
10121,10122,2,59
10121,10090,2,179
10121,10089,2,179
10090,10089,2,59
10090,10119,2,179
10090,10118,2,179
10090,10122,2,239
11364,11359,2,119
6,6,2,180
39,39,2,180
43,43,2,180
73,73,2,239
14507,10140,2,239
82,82,2,180
83,83,2,180
84,84,2,180
14507,10070,2,180
86,86,2,180
87,87,2,180
88,88,2,180
89,89,2,180
90,90,2,180
91,91,2,180
92,92,2,180
93,93,2,180
94,94,2,180
95,95,2,180
98,98,2,180
100,100,2,180
101,101,2,180
102,102,2,180
133,133,2,180
97,97,2,180
14507,10141,2,239
14507,10142,2,239
14507,10143,2,239
12223,12199,2,239
12224,12199,2,239
12225,12199,2,239
12226,12199,2,239
12227,12199,2,239
12228,12199,2,239
12221,12199,2,239
10140,10070,2,180
10140,10141,2,120
12218,12199,2,239
12217,12199,2,239
12216,12199,2,239
12214,12199,2,239
12213,12199,2,239
12212,12199,2,239
12211,12199,2,239
12210,12199,2,239
12209,12199,2,239
12207,12199,2,239
12206,12199,2,239
12205,12199,2,239
12204,12199,2,239
12203,12199,2,239
12202,12199,2,239
10140,10142,2,120
12223,12198,2,239
12224,12198,2,239
12225,12198,2,239
12226,12198,2,239
12227,12198,2,239
12228,12198,2,239
12221,12198,2,239
10140,10143,2,120
10140,14507,2,239
12218,12198,2,239
12217,12198,2,239
12216,12198,2,239
12214,12198,2,239
12213,12198,2,239
12212,12198,2,239
12211,12198,2,239
12210,12198,2,239
12209,12198,2,239
12207,12198,2,239
12206,12198,2,239
12205,12198,2,239
12204,12198,2,239
12203,12198,2,239
12202,12198,2,239
10070,10140,2,180
12223,12197,2,239
12224,12197,2,239
12225,12197,2,239
12226,12197,2,239
12227,12197,2,239
12228,12197,2,239
12221,12197,2,239
10070,14507,2,180
10070,10141,2,180
12218,12197,2,239
12217,12197,2,239
12216,12197,2,239
12214,12197,2,239
12213,12197,2,239
12212,12197,2,239
12211,12197,2,239
12210,12197,2,239
12209,12197,2,239
12207,12197,2,239
12206,12197,2,239
12205,12197,2,239
12204,12197,2,239
12203,12197,2,239
12202,12197,2,239
10070,10142,2,180
10070,10143,2,180
10141,10140,2,120
10141,10070,2,180
12223,12195,2,239
12224,12195,2,239
12225,12195,2,239
12226,12195,2,239
12227,12195,2,239
12228,12195,2,239
12221,12195,2,239
10141,14507,2,239
10141,10142,2,120
12218,12195,2,239
12217,12195,2,239
12216,12195,2,239
12214,12195,2,239
12213,12195,2,239
