from_stop_id, to_stop_id, transfer_type, min_transfer_time
12212,12195,2,239
12211,12195,2,239
12210,12195,2,239
12209,12195,2,239
12207,12195,2,239
12206,12195,2,239
12205,12195,2,239
12204,12195,2,239
12203,12195,2,239
12202,12195,2,239
10141,10143,2,120
10142,10140,2,120
10142,10070,2,180
10142,10141,2,120
10142,14507,2,239
10142,10143,2,120
10143,10140,2,120
10143,10070,2,180
10143,10141,2,120
10143,10142,2,120
10143,14507,2,239
27092,27180,2,179
27092,27181,2,179
27092,27182,2,179
27092,27183,2,179
27092,27184,2,179
27092,27185,2,179
27092,27171,2,179
27092,27172,2,179
27092,27173,2,179
27092,27174,2,179
27092,27175,2,179
27092,27179,2,239
27092,27176,2,239
27092,27177,2,239
27092,27178,2,239
27171,27092,2,179
27171,27179,2,179
136,135,2,299
135,136,2,299
27171,27180,2,179
27171,27181,2,179
27171,27182,2,179
27171,27183,2,179
27171,27184,2,179
27171,27185,2,179
27171,27172,2,179
27171,27173,2,179
27171,27174,2,179
27171,27175,2,179
27171,27176,2,239
27171,27177,2,239
27171,27178,2,239
27172,27092,2,179
27172,27179,2,179
27172,27180,2,179
27172,27181,2,179
27172,27182,2,179
27172,27183,2,179
27172,27184,2,179
27172,27185,2,179
27172,27171,2,179
27172,27173,2,179
27172,27174,2,179
27172,27175,2,179
27172,27176,2,179
27172,27177,2,179
27172,27178,2,179
27173,27092,2,179
27173,27179,2,179
27173,27180,2,179
27173,27181,2,179
27173,27182,2,179
27173,27183,2,179
27173,27184,2,179
27173,27185,2,179
27173,27171,2,179
27173,27172,2,179
27173,27174,2,179
27173,27175,2,179
27173,27176,2,179
27173,27177,2,179
27173,27178,2,179
27174,27092,2,179
27174,27179,2,179
27174,27180,2,179
27174,27181,2,179
27174,27182,2,179
27174,27183,2,179
27174,27184,2,179
27174,27185,2,179
27174,27171,2,179
27174,27172,2,179
27174,27173,2,179
27174,27175,2,179
27174,27176,2,179
27174,27177,2,179
27174,27178,2,179
27175,27092,2,179
27175,27179,2,179
27175,27180,2,179
27175,27181,2,179
27175,27182,2,179
27175,27183,2,179
27175,27184,2,179
27175,27185,2,179
27175,27171,2,179
27175,27172,2,179
27175,27173,2,179
27175,27174,2,179
27175,27176,2,179
27175,27177,2,179
27175,27178,2,179
27176,27179,2,179
27176,27180,2,179
27176,27181,2,179
27176,27182,2,179
27176,27183,2,179
27176,27172,2,179
27176,27173,2,179
27176,27174,2,179
27176,27175,2,179
27176,27177,2,179
27176,27178,2,179
27176,27092,2,239
85,85,2,120
10071,27676,2,59
27676,10071,2,59
99009,99906,2,239
99009,99007,2,239
99009,99005,2,299
99009,99004,2,299
10138,10139,2,59
10139,10138,2,59
99908,99906,2,239
99908,99007,2,239
99908,99005,2,239
99908,99004,2,239
12221,12200,2,239
12219,12210,2,239
12219,12209,2,239
12219,12223,2,239
12219,12224,2,239
12219,12225,2,239
99906,99009,2,239
99906,99908,2,239
99906,99005,2,239
99906,99004,2,239
12219,12226,2,239
99007,99009,2,239
99007,99908,2,239
99007,99005,2,239
99007,99004,2,239
12219,12227,2,239
12219,12228,2,239
99005,99906,2,239
99005,99007,2,239
99005,99009,2,239
99005,99908,2,239
12219,28068,2,239
99004,99906,2,239
99004,99007,2,239
99004,99009,2,239
99004,99908,2,239
12219,12214,2,239
12219,12213,2,239
12219,12212,2,239
12219,12211,2,239
12219,12208,2,239
12219,12207,2,239
12219,12206,2,239
12219,12205,2,239
12219,12204,2,239
12219,12203,2,239
12219,12202,2,239
12219,12200,2,239
12219,12199,2,239
12219,12198,2,239
12219,12197,2,239
12219,12195,2,239
12218,12208,2,239
12218,12200,2,239
12217,12208,2,239
12217,12200,2,239
12216,12208,2,239
12216,12200,2,239
12214,12200,2,239
12213,12200,2,239
12212,12200,2,239
12211,12200,2,239
12208,12223,2,239
12208,12224,2,239
12208,12225,2,239
12208,12226,2,239
12208,12227,2,239
12208,12228,2,239
12208,28068,2,239
12208,12221,2,239
12208,12219,2,239
12208,12218,2,239
12208,12217,2,239
12208,12216,2,239
12208,12207,2,239
12208,12206,2,239
12208,12205,2,239
12208,12204,2,239
12208,12203,2,239
12208,12202,2,239
12208,12200,2,239
12208,12199,2,239
12208,12198,2,239
12208,12197,2,239
12208,12195,2,239
12207,12208,2,239
